CAS,cluster
26087-47-8,20
2782-70-9,20
64359-81-5,124
63-25-2,24
55256-32-1,10
57213-69-1,10
26530-20-1,124
872-50-4,67
27176-87-0,105
31093-47-7,105
657-84-1,105
6148-75-0,105
42615-29-2,105
91125-43-8,105
60-80-0,127
27314-13-2,127
27344-41-8,105
94-82-6,10
27955-94-8,21
28249-77-6,65
28772-56-7,21
446-72-0,21
81-81-2,21
2893-78-9,119
63333-35-7,111
5598-13-0,75
5598-15-2,75
29232-93-7,75
483-65-8,77
573-98-8,77
29253-36-9,77
301-12-2,20
62-73-7,128
300-76-5,128
52-68-6,128
543-90-8,107
373-02-4,107
6080-56-4,107
557-34-6,107
6018-89-9,107
4075-81-4,107
301-04-2,107
60-34-4,129
7803-57-8,129
302-01-2,129
53404-19-6,130
5902-51-2,130
314-40-9,130
485-31-4,0
32388-55-9,28
475-20-7,28
96182-53-5,75
33629-47-9,0
57018-04-9,20
8001-35-2,91
626-43-7,7
3567-25-7,19
6753-47-5,131
35832-11-2,131
379-52-2,68
57-92-1,103
57837-19-1,112
66841-25-6,126
91465-08-6,126
67375-30-8,126
52315-07-8,126
68085-85-8,126
68359-37-5,126
52918-63-5,126
76703-62-3,126
3984-14-3,132
66840-71-9,132
454-89-7,133
402-31-3,133
839-90-7,134
40220-08-4,134
40596-80-3,30
68959-20-6,51
75-07-0,135
4170-30-3,135
77501-63-4,0
427-51-0,28
55179-31-2,37
92-70-6,21
504-29-0,18
462-08-8,18
470-90-6,128
961-11-5,128
481-39-0,21
529-20-4,45
95-33-0,136
4979-32-2,136
7212-44-4,137
78-70-6,137
505-32-8,137
51630-58-1,126
70124-77-5,126
51877-53-3,138
72-17-3,138
66230-04-4,126
53005-05-3,79
53404-60-7,139
533-74-4,139
75-98-9,54
542-75-6,84
760-23-6,84
547-64-8,140
617-51-6,140
69377-81-7,10
5536-61-8,141
7446-81-3,141
76-13-1,84
630-20-6,84
71-55-6,84
56-23-5,84
818-08-6,47
56-37-1,51
57-68-1,19
9012-76-4,103
59720-42-2,142
7747-35-5,142
60-35-5,143
79-39-0,143
626-93-7,40
79622-59-6,111
88-19-7,19
67-72-1,84
79-00-5,84
637-07-0,10
79-31-2,54
81406-37-3,10
65-85-0,144
99-94-5,144
66332-96-5,126
69409-94-5,126
731-27-1,132
67-48-1,51
75-27-4,84
79-34-5,84
7786-34-7,96
70458-96-7,145
93106-60-6,145
86393-32-0,145
72963-72-5,146
7696-12-0,146
950-37-8,75
732-11-6,75
7784-18-1,16
7550-35-8,16
7647-15-6,16
7789-23-3,16
7681-11-0,16
7681-49-4,16
78-99-9,147
75-00-3,147
75-34-3,84
87-68-3,88
75-52-5,0
78-88-6,84
7632-00-0,11
7681-52-9,14
95-70-5,7
78-87-5,84
944-22-9,20
80-62-6,54
82657-04-3,121
83588-43-6,148
82697-71-0,148
81052-29-1,148
868-77-9,149
818-61-1,149
92-52-4,150
84-15-1,150
843-55-0,21
948-65-2,76
9002-93-1,40
901-44-0,40
93-15-2,21
98-51-1,45
